start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,2,22,0,2,24,"Here you are.
WWW.MY-SUBS.CO"
0,2,33,0,2,35,"The sea snake is going
to die, isn't he?"
0,2,38,0,2,39,Luke.
0,2,39,0,2,41,It can't be Lord of the Tides.
0,2,42,0,2,44,"Grandsire was the greatest
sailor who ever lived."
0,2,44,0,2,47,"I get green sick before the
ship even leaves the harbour."
0,2,48,0,2,50,I'll just ruin everything.
0,2,50,0,2,52,I don't want Driftmark.
0,2,53,0,2,55,"It should have passed
on to surveyman."
0,2,55,0,2,57,"We don't choose our destiny,
Luke. It chooses us."
0,2,57,0,3,1,"Grandsire, let you choose
whether you be as a..."
0,3,1,0,3,3,You told us so.
0,3,7,0,3,10,"And do you want to
know the truth of it?"
0,3,12,0,3,14,I was frightened.
0,3,15,0,3,18,I was four and ten.
0,3,18,0,3,20,Same as you are now.
0,3,21,0,3,25,"I wasn't ready to be queen
of the Seven Kingdoms."
0,3,25,0,3,32,"But it was my duty, and in time I came to
understand I had to earn my inheritance."
0,3,34,0,3,36,I'm not like you.
0,3,36,0,3,38,"In what way, sweet boy?"
0,3,38,0,3,39,Not so...
0,3,41,0,3,42,perfect.
0,3,52,0,3,54,I am anything but.
0,3,55,0,3,59,"My father looked after me and
helped prepare me for my duties."
0,3,59,0,4,2,"Your mother will do
the same for you."
0,4,3,0,4,4,"Good morrow, Princess."
0,4,4,0,4,6,"Good morrow, Sir Laurent."
0,4,7,0,4,9,"Princess Renise has just
arrived on Dragonback."
0,4,9,0,4,12,"We urgently request an audience
with you and Prince Daemon."
0,4,30,0,4,32,The Princess Rhaenys Targaryen.
0,4,32,0,4,33,"Thank you, Sir Laurence."
0,4,37,0,4,41,"Princess Rhaenys, might we hope
for news of Lord Corlys's recovery?"
0,4,41,0,4,43,Viserys is dead.
0,4,48,0,4,51,"I grieve this loss
with you, Rhaenyra."
0,4,51,0,4,55,My cousin. Your father.
0,4,56,0,4,58,Possessed a kind heart.
0,5,8,0,5,10,There is more.
0,5,11,0,5,13,"Aegon has been crowned
as his successor."
0,5,20,0,5,22,They crowned him.
0,5,24,0,5,26,How did Viserys die?
0,5,26,0,5,28,I could not say.
0,5,28,0,5,29,How long ago?
0,5,29,0,5,31,"A day past, perhaps two."
0,5,31,0,5,33,"I was made a prisoner in my quarters
while the Queen made her preparations."
0,5,33,0,5,35,Viserys has been slain.
0,5,36,0,5,40,"Alicent demanded you
declare for Aegon."
0,5,42,0,5,43,She did.
0,5,45,0,5,47,I refused her.
0,5,47,0,5,48,And yet you are alive.
0,5,51,0,5,55,"The High Septon crowned
Aegon in the Dragonpit."
0,5,55,0,5,58,"I witnessed it myself just
before I fled on Maelys."
0,5,58,0,6,1,"They crowned him
before the masses."
0,6,1,0,6,3,"So that the masses would see
him as their rightful king."
0,6,3,0,6,8,"That whore of a queen murdered my brother and stole
his throne, and you could have burned more for it."
0,6,9,0,6,12,"A war is like to be fought over
this treachery, to be sure."
0,6,16,0,6,18,"But that war is
not mine to begin."
0,6,19,0,6,23,"I only rushed this warning to you out of
loyalty to my husband and to my house."
0,6,25,0,6,27,"The greens are coming
for you, Rhaenyra."
0,6,28,0,6,30,And for your children.
0,6,31,0,6,33,"You should leave
Dragonstone at once."
0,6,53,0,6,54,Baby's coming.
0,7,2,0,7,5,"Her term is far from complete.
This should not be happening."
0,7,5,0,7,8,It is fucking happening!
0,7,9,0,7,11,"Keep your head
about you, Princess."
0,7,11,0,7,12,Come.
0,7,13,0,7,15,"You've done this
five times before."
0,7,15,0,7,17,"Keep your spirit in the
sixth volume, different."
0,7,17,0,7,20,Get off! Get off! Get off!
0,7,25,0,7,29,"I want patrols along the island's perimeter,
looking for any small ships that might set"
0,7,29,0,7,30,ashore.
0,7,31,0,7,35,"If the Greens attack now, it
will be by stealth, not directly."
