start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,0,0,0,0,4,WWW.MY-SUBS.CO
0,0,6,0,0,10,(epic theme playing)
0,0,10,0,0,12,♪ ♪
0,1,29,0,1,39,"<font color=""#ec14bd"">Sync & corrections by honeybunny
www.MY-SUBS.com</font>"
0,1,48,0,1,51,(flames roaring)
0,2,8,0,2,10,(soldiers chattering)
0,2,18,0,2,20,(soldier grunting)
0,2,20,0,2,23,"Velaryon Knight:
House Velaryon is coming for you!"
0,2,24,0,2,26,"The Sea Snake will have
your poxy fucking head!"
0,2,27,0,2,29,"No, no, no. No, please!"
0,2,29,0,2,32,"(screaming, groaning)"
0,2,36,0,2,39,"Fuck you, Prince Drahar!"
0,2,39,0,2,42,"Fuck your whore mother
and bastard father!"
0,2,42,0,2,44,(groaning) Fuck!
0,2,44,0,2,47,"No, no! No!"
0,2,50,0,2,53,(wailing)
0,2,53,0,2,54,♪ ♪
0,2,55,0,2,57,(muffled grunting)
0,3,1,0,3,3,(rumbling)
0,3,4,0,3,7,(soldiers shouting)
0,3,12,0,3,13,"Soldier:
(shouting) Dragon!"
0,3,13,0,3,15,Hail Prince Daemon!
0,3,19,0,3,22,Burn the fucking Triarchy cunts alive!
0,3,22,0,3,24,(soldiers shouting)
0,3,30,0,3,31,"Here, my Prince."
0,3,32,0,3,33,Save me!
0,3,33,0,3,35,(groaning)
0,3,38,0,3,40,(Caraxes screeches)
0,3,42,0,3,44,To the caves! Now!
0,3,52,0,3,54,"Soldier:
Retreat to the caves!"
0,3,56,0,3,58,(flames roaring)
0,3,58,0,4,0,♪ ♪
0,4,4,0,4,5,(screams)
0,4,9,0,4,11,(growling)
0,4,17,0,4,18,Where are you?
0,4,19,0,4,23,"Come out and face me, Drahar!"
0,4,25,0,4,27,"Come out, Drahar!"
0,4,27,0,4,29,Where are you?
0,4,30,0,4,33,I'm gonna feed you to your own crabs!
0,4,34,0,4,35,Where are you?
0,4,53,0,5,1,(Caraxes screeches)
0,5,10,0,5,13,"- (light music playing)
- (toddler babbling)"
0,5,13,0,5,15,"Noble:
He has your hair, Your Grace."
0,5,15,0,5,16,(all laughing)
0,5,16,0,5,17,"King Viserys:
He does have my hair."
0,5,17,0,5,19,"- He has your eyes, Your Grace.
- Yes, he does."
0,5,19,0,5,22,(laughter)
0,5,22,0,5,23,"And you have my nose, don't you?"
0,5,23,0,5,28,"Two years old and already our
boy has a kingly presence."
0,5,28,0,5,29,"He may yet, brother,"
0,5,29,0,5,31,but this morning he insisted on eating
0,5,31,0,5,33,porridge with his hands.
0,5,33,0,5,35,(laughs) He will grow.
0,5,37,0,5,40,"We're quite a party
assembled in his honor."
0,5,41,0,5,42,"And surely by the end of this hunt,"
0,5,42,0,5,43,we shall have more to celebrate.
0,5,43,0,5,45,"And what is that, pray tell."
0,5,46,0,5,48,It is Aegon's second name day.
0,5,49,0,5,50,His infancy's behind him.
0,5,50,0,5,53,"It only remains for Viserys to
name him heir to the throne."
0,5,53,0,5,55,I wouldn't be so sure.
0,5,55,0,5,57,He's the King's firstborn son.
0,5,57,0,6,0,"I don't know that His Grace
sees it so clearly."
0,6,2,0,6,5,"Then it lies with you
to make him see it..."
0,6,5,0,6,7,Lord Hand.
0,6,7,0,6,9,"Tyland Lannister:
Your Grace..."
0,6,10,0,6,13,"I bring urgent news
from the Stepstones."
0,6,13,0,6,16,"The Crabfeeder has dug in
for siege on Bloodstone"
0,6,16,0,6,17,"while his men sabotage our fleet
under the cover of dark."
0,6,17,0,6,20,"Not today, Tyland."
0,6,20,0,6,23,"The matter of the Stepstones
is regrettably urgent."
0,6,23,0,6,25,It's been three years.
0,6,25,0,6,27,It can wait another three days.
0,6,31,0,6,33,"Come, eat."
0,6,33,0,6,35,Fortify yourselves for the journey.
0,6,37,0,6,39,Please.
0,6,39,0,6,40,Is the baggage train ready?
0,6,40,0,6,42,"It is presently massing
at the River Gate."
0,6,42,0,6,45,"Lord Jason expects us
in the Kingswood before midday."
0,6,45,0,6,48,"- Have you seen Rhaenyra?
- I have not, Your Grace."
0,6,51,0,6,54,"With the Triarchy now sheltering
in Bloodstone's caves,"
0,6,54,0,6,55,the threat of the dragons is blunted.
0,6,56,0,6,58,They don't have foot soldiers.
0,6,58,0,7,0,But their sellswords have been
0,7,0,0,7,2,"withdrawing in droves, Your Grace."
0,7,2,0,7,4,"Even the mercenaries can see
that it is a losing effort."
0,7,4,0,7,6,Where's Rhaenyra?
0,7,7,0,7,8,"I cannot be sure
at present, Your Grace."
0,7,8,0,7,13,"The Velaryon forces have suffered
heavy attrition, Your Grace."
0,7,13,0,7,16,"The seeds of dissent are sown
amongst the rank and file."
0,7,16,0,7,18,Daemon has driven the men hard.
0,7,18,0,7,21,"They have begun
to question his command."
0,7,21,0,7,24,If the crown were ever to intervene...
0,7,24,0,7,26,"- Tyland--
- ...now is the time."
0,7,26,0,7,28,"Daemon and The Sea Snake
started their war"
0,7,28,0,7,30,without His Grace's leave.
0,7,30,0,7,32,"Were he to intervene now after so long,"
0,7,32,0,7,35,it would make the crown appear weak.
0,7,35,0,7,36,Can someone tell me
0,7,36,0,7,39,"where in the Seven Hells
Rhaenyra might be?"
0,7,39,0,7,45,"(singing)
♪ Under the dragon's eye ♪"
0,7,46,0,7,50,♪ Under the dragon's eye ♪
0,7,51,0,7,52,Again.
0,7,54,0,7,56,"Perhaps the Princess might
like to hear something else?"
0,7,56,0,7,58,"She would not.
Play it again."
0,8,2,0,8,4,(minstrel clears his throat)
0,8,4,0,8,7,"(singing)
♪ She fled with her ships ♪"
0,8,7,0,8,10,♪ And her people ♪
0,8,10,0,8,13,♪ Her heart broken for those ♪
0,8,13,0,8,15,"- (singing stops)
- Your Grace."
0,8,16,0,8,17,Did I say to stop?
0,8,22,0,8,24,From the beginning.
0,8,29,0,8,32,"(singing)
♪ She fled with her ships ♪"
0,8,32,0,8,36,"- Rhaenyra?
- Yes, my Queen?"
0,8,36,0,8,38,"Your presence is wanted
in the outer courtyard."
0,8,38,0,8,41,The royal hunt readies to depart.
0,8,41,0,8,43,"I've decided to remain here
and read instead."
0,8,46,0,8,48,"- You may go, Samwell.
- (stops singing)"
0,8,48,0,8,51,"You are to stay
by order of the Princess."
0,8,51,0,8,54,"The Queen commands you
to leave the Godswood at once."
0,8,56,0,8,57,Princess.
0,9,1,0,9,2,Your Grace.
0,9,5,0,9,7,The King wishes for you to join us.
0,9,7,0,9,9,The King has much to celebrate.
0,9,9,0,9,10,He does not need me.
0,9,10,0,9,12,He wants for us all to be together.
0,9,13,0,9,15,"Perhaps the hunt
could be... fun."
0,9,17,0,9,19,Is it the King's command?
0,9,19,0,9,22,"- Yes, but it--
- Then at once, Your Grace."
0,9,23,0,9,25,But it needn't be.
0,9,25,0,9,28,"None of it needs be this way
in truth, Rhaenyra."
0,9,37,0,9,39,"King Viserys:
Well, isn't this splendid."
0,9,39,0,9,44,"The whole of our family off to celebration
and adventure in the Kingswood."
0,9,47,0,9,48,(rattling)
0,9,51,0,9,53,"Should you be traveling
in such condition?"
0,9,53,0,9,56,"The maester said that being
out in nature would do me well."
0,9,56,0,9,59,"Well, you will be with your
own child sooner than late,"
0,9,59,0,10,1,and make me a proud grandsire.
0,10,3,0,10,5,It's not so bad.
0,10,5,0,10,9,"The days are long,
but Aegon came quickly and without fuss."
0,10,16,0,10,19,You should ride out with me today.
0,10,20,0,10,21,Join in the chase.
0,10,21,0,10,23,I'd rather not.
0,10,23,0,10,27,"The boars squeal like children
when they're being slaughtered."
0,10,27,0,10,29,I find it discomforting.
0,10,29,0,10,31,"It's a hunt, Rhaenyra."
0,10,31,0,10,33,(Aegon babbling)
0,10,33,0,10,36,How would you like to participate?
0,10,36,0,10,37,I'm not sure why I must.
0,10,37,0,10,40,Because you are my daughter...
0,10,40,0,10,42,The Princess.
0,10,42,0,10,44,And you have duties.
0,10,44,0,10,46,"(softly)
As I am ceaselessly reminded."
0,10,46,0,10,48,"- King Viserys: I'm sorry?
- (louder) As I am ceaselessly reminded."
0,10,48,0,10,51,"You wouldn't need to be reminded
if you ever attended to them."
0,10,51,0,10,53,No one's here for me.
0,11,0,0,11,3,(grand music playing)
0,11,14,0,11,16,(people applauding)
0,11,23,0,11,25,♪ ♪
0,11,44,0,11,47,(crowd cheering)
0,11,55,0,12,0,"Hail, hail Aegon, the Conqueror-Babe,
Second of His Name!"
0,12,0,0,12,2,"Here's to His Grace
on his second name day!"
0,12,6,0,12,8,(pensive music playing)
0,12,8,0,12,10,(cheering continues)
0,12,12,0,12,14,(indistinct chatter)
0,12,15,0,12,18,♪ ♪
0,12,49,0,12,52,"Ceira Lannister: Lady Johanna was
reported to have been abducted"
0,12,52,0,12,55,"when one of Lord Swann's ships
sailed through the Stepstones."
0,12,55,0,12,57,What will happen to Lady Johanna?
0,12,57,0,12,58,"Ceira: She's to be
sold to a pillow house"
0,12,58,0,13,0,in the Free Cities
0,13,0,0,13,2,if you believe the rumors.
0,13,3,0,13,6,"I fear the gods did not
make me for hunting."
0,13,6,0,13,8,"Might I sit with you, my ladies?"
0,13,8,0,13,10,"Queen Alicent:
But of course. Please join us."
0,13,10,0,13,14,"Larys Strong, the youngest son of
our Master of Law, Lord Lyonel."
0,13,14,0,13,15,My Lord husband says that no King
0,13,15,0,13,17,"has even been able to tame
the Stepstones for long."
0,13,17,0,13,20,"It's an inhospitable place
suited only for savages."
0,13,20,0,13,26,"Perhaps the Princess...
can give us some insight."
0,13,26,0,13,27,"(chuckles)
Oh, I'm not sure how I could."
0,13,27,0,13,29,I've never been to the Stepstones.
0,13,29,0,13,33,"Your dear uncle is the
great mind behind this war."
0,13,33,0,13,34,"- Is he not?
- I wouldn't know."
0,13,34,0,13,36,I've not spoken to Daemon in years.
0,13,36,0,13,38,Since you supplanted him as heir.
0,13,38,0,13,41,"Daemon made his choices, Lady Ceira."
0,13,41,0,13,44,"The Princess was
more suited to the role."
0,13,44,0,13,47,"Joselyn Redwyne: He's made a mess
and the King must put an end to it."
0,13,47,0,13,48,Send fleets and men
0,13,48,0,13,51,and clear out the Triarchy for good.
0,13,52,0,13,55,But the crown is not at war.
0,13,55,0,13,58,"The crown...
is at war, Princess."
0,13,58,0,13,59,"Though your father refuses to admit it,"
0,14,0,0,14,2,"we've been dragged into it by
your uncle and The Sea Snake."
0,14,2,0,14,3,"And how have you served
the realm of late,"
0,14,3,0,14,5,"Lady Redwyne, by eating cake?"
0,14,10,0,14,12,(tense music playing)
0,14,13,0,14,14,♪ ♪
0,14,22,0,14,24,♪ ♪
0,14,33,0,14,35,(indistinct chatter)
0,14,39,0,14,41,"I wonder, Princess..."
0,14,41,0,14,45,"was your own second name day
as grand as this?"
0,14,45,0,14,46,"I honestly don't recall
and neither will Aegon."
0,14,50,0,14,51,Lord Jason Lannister.
0,14,53,0,14,55,I gathered that from all the lions.
0,14,55,0,14,57,"I don't think we've been
properly introduced."
0,14,59,0,15,3,"Your twin serves
on my father's council."
0,15,3,0,15,5,Tyland is...
0,15,5,0,15,9,"frightfully dull, gods love him."
0,15,9,0,15,10,"The finest honeyed wine
you'll ever taste."
0,15,10,0,15,14,"- Made in Lannisport, of course.
- Of course."
0,15,15,0,15,19,"Ah, the Kingswood,
it's fine hunting ground."
0,15,19,0,15,21,"But the best sport is to be
found at Casterly Rock,"
0,15,21,0,15,23,near my home.
0,15,23,0,15,24,Have you been?
0,15,25,0,15,27,"Um, once... on tour"
0,15,27,0,15,28,"with my mother when I was young,"
0,15,28,0,15,31,"and honestly can't recall
much of that either."
0,15,31,0,15,34,"The Rock is thrice the height
of the Hightower in Oldtown,"
0,15,34,0,15,36,"taller still than
the Wall in the north."
0,15,36,0,15,37,It's been said that
0,15,37,0,15,41,"if one were to stand in the tower...
on a perfect day,"
0,15,41,0,15,44,"one could see clear
across the Sunset Sea."
0,15,45,0,15,46,It must be quite something.
0,15,46,0,15,49,"Hm, I don't have a Dragonpit,
of course, but..."
0,15,49,0,15,52,"I do have the means
and resources to build one."
0,15,53,0,15,56,Why would you need a Dragonpit?
0,15,56,0,15,58,"To house dragons, of course."
0,15,58,0,16,0,I'd do anything for my Queen...
0,16,0,0,16,2,or... lady wife.
0,16,9,0,16,12,Thank you for the wine.
0,16,12,0,16,14,(sighs)
0,16,14,0,16,16,♪ ♪
0,16,25,0,16,26,"Rhaenyra:
Is that what I am to you?"
0,16,26,0,16,30,"A prize to proffer about
to the great houses?"
0,16,35,0,16,36,"You're of age, Rhaenyra."
0,16,38,0,16,39,"And Jason Lannister
is an excellent match."
0,16,39,0,16,40,He's arrogant and self-serious.
0,16,40,0,16,43,"Well, I thought you might
have that in common."
0,16,45,0,16,46,"Since you came of age,"
0,16,46,0,16,48,"I've been slowly drowning
in a lake of parchment"
0,16,48,0,16,50,flung from every corner of the realm.
0,16,50,0,16,52,"Marriage proposals, all."
0,16,52,0,16,53,And I have tried often
0,16,53,0,16,55,"to discuss it with you,"
0,16,55,0,16,57,but you've refused me at every turn.
0,16,57,0,16,59,"That is because I do not
wish to get married."
0,16,59,0,17,0,"(shouts) Even I do not
exist above tradition"
0,17,0,0,17,1,"and duty, Rhaenyra!"
0,17,1,0,17,3,"Excuse me, Your Grace."
0,17,12,0,17,16,You must marry.
0,17,16,0,17,19,"- Yes?
- The royal huntsman have sent a report, Your Grace."
0,17,19,0,17,22,"There's been a sighting
of a white hart."
0,17,24,0,17,25,"The stag is ""The King of the Kingswood,""
Your Grace."
0,17,25,0,17,29,"A regal portent for
Prince Aegon's name day."
0,17,29,0,17,31,♪ ♪
0,17,33,0,17,36,(laughs)
0,17,51,0,17,53,Princess.
0,17,53,0,17,55,(horse neighs)
0,17,59,0,18,1,"Criston Cole:
Princess, wait!"
0,18,7,0,18,10,♪ ♪
0,18,21,0,18,22,"(shouts)
Princess, slow down!"
