start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,0,0,0,0,4,WWW.MY-SUBS.CO
0,0,7,0,0,10,(epic theme playing)
0,0,10,0,0,12,♪ ♪
0,1,30,0,1,41,"<font color=""#ec14bd"">Sync & corrections by honeybunny
www.MY-SUBS.com</font>"
0,1,49,0,1,51,"Princess Rhaenys:
It's been near six years"
0,1,51,0,1,53,"since I last saw
my lord husband, Maester."
0,1,54,0,1,58,I must know... will he live?
0,1,58,0,2,1,"Maester Kelvyn: He led his
sailors into an ambush."
0,2,1,0,2,5,"A ship made to look
as if it were abandoned."
0,2,5,0,2,9,"In the fighting, his neck was
slashed by a corsair's dagger."
0,2,9,0,2,12,He fell overboard into the sea.
0,2,12,0,2,14,The wound was severe.
0,2,14,0,2,16,Much blood was lost.
0,2,16,0,2,19,"But the greater concern
is the fever that followed."
0,2,19,0,2,23,"The ship's maester said
he burns from within."
0,2,25,0,2,27,(seabirds calling)
0,2,35,0,2,37,The ravens came in from?
0,2,37,0,2,39,"Kelvyn:
Evenfall, Princess."
0,2,40,0,2,42,So they arrive in three days.
0,2,45,0,2,47,"Let all be made ready
to receive him, Maester Kelvyn."
0,2,54,0,2,55,The Sea Snake is strong.
0,2,55,0,2,57,"Vaemond Velaryon:
No doubt."
0,2,57,0,3,2,"And yet, I have seen blood
fever overcome men half his age."
0,3,2,0,3,5,"I will not suffer the talk of
crows in my house, Vaemond."
0,3,5,0,3,8,I love my brother...
0,3,8,0,3,11,but we must be honest with ourselves.
0,3,11,0,3,13,We may greet his ship to find him gone.
0,3,13,0,3,15,And who will take the Driftwood Throne?
0,3,16,0,3,17,"My grandmother seems
quite comfortable here."
0,3,17,0,3,21,"She presides only in the
absence of her husband."
0,3,22,0,3,23,"On his death, the seat passes."
0,3,23,0,3,25,To Lucerys Velaryon.
0,3,25,0,3,27,As is my lord husband's desire.
0,3,27,0,3,30,"I am the Sea Snake's own blood,"
0,3,31,0,3,33,the closest kin he has left.
0,3,33,0,3,35,"Be careful, good-brother."
0,3,35,0,3,37,One could take your words for treason.
0,3,46,0,3,49,"I speak the truth, Rhaenys."
0,3,50,0,3,53,And you know it.
0,3,53,0,3,54,The matter has been decided.
0,3,55,0,3,56,"Vaemond:
By a man whose ambition"
0,3,56,0,4,0,"has brought down on us
calamity after calamity."
0,4,0,0,4,4,"My brother cares only
for the history books."
0,4,6,0,4,8,But what of the Velaryon line?
0,4,8,0,4,10,"Is it to be snuffed out,"
0,4,10,0,4,14,supplanted by the pups of House Strong?
0,4,14,0,4,17,Driftmark is mine by all rights.
0,4,17,0,4,19,"And while I should like your support,"
0,4,19,0,4,22,I do not... need it.
0,4,25,0,4,28,The winds have shifted.
0,4,28,0,4,32,"The crown has good reason...
to take my side."
0,4,32,0,4,35,"My cousin the King would
have your tongue for this."
0,4,35,0,4,40,"But it's not a king who sits the
Iron Throne these days, good-sister."
0,4,41,0,4,42,It's a queen.
0,4,44,0,4,48,(tense music playing)
0,4,52,0,4,54,(wind whistling)
0,5,16,0,5,18,♪ ♪
0,5,20,0,5,22,(footsteps approaching)
0,5,30,0,5,33,♪ ♪
0,5,45,0,5,48,♪ ♪
0,5,58,0,6,2,(hissing)
0,6,9,0,6,11,♪ ♪
0,6,24,0,6,26,_
0,6,26,0,6,29,_
0,6,30,0,6,33,_
0,6,33,0,6,35,_
0,6,36,0,6,37,_
0,6,37,0,6,41,_
0,6,45,0,6,46,♪ ♪
0,6,59,0,7,1,(indistinct chatter)
0,7,1,0,7,2,"Prince Jacaerys:
The Conqueror and his sisters"
0,7,2,0,7,5,sailed with a great army.
0,7,5,0,7,7,"Maester Gerardys: (speaking
High Valyrian) Se Blakuata Rasho"
0,7,7,0,7,10,dranot vilinio viartis.
0,7,10,0,7,14,"Jacaerys:(exhales) And landed
at the Blackwater Rush."
0,7,14,0,7,15,Dranot.
0,7,16,0,7,19,"Jacaerys:
Dranot. Dranot."
0,7,19,0,7,21,Dranot. At the end?
0,7,21,0,7,23,The mouth.
0,7,23,0,7,25,"Mouth! Ah, come on,
Jace, you knew that."
0,7,26,0,7,29,Dranot. Dranot.
